配信順,楽曲ID,楽曲名,読み仮名,見出し用,再生時間,楽曲定数,ユニット,MV,配信日,Ap配信日,Lv.Ea,Lv.No,Lv.Ha,Lv.Ex,Lv.Ma,Lv.Ap,,,,読み1,読み2,読み3,読み4,読み5,読み6,読み7,読み8,読み9,読み10,
108,154,地球最後の告白を,ちきゅうさいごのこくはくを,ち,128,115,2_MMJ,2D,2021/07/19,,8,13,18,25,31,32,,,,,,,,,,,,,,
109,129,ビターチョコデコレーション,びたーちょこでこれーしょん,ひ,128.7,115,5_25,2D/3D,2021/07/28,,7,12,19,25,32,,,,,びたちょこ,びたあちょこでこれえしょん,,,,,,,,,
110,165,そうだった！！,そうだった,そ,127.2,115,0_VS,-,2021/08/06,,8,14,19,27,31,,,,,,,,,,,,,,,
111,171,カゲロウデイズ,かげろうでいず,か,143.5,120,1_L/n,-,2021/08/15,2024/08/16,9,14,19,27,31,33,,,,,,,,,,,,,,
112,140,アイスドロップ,あいすどろっぷ,あ,106.4,109,2_MMJ,3D,2021/08/18,,7,12,18,24,27,,,,,あいどろ,,,,,,,,,,
113,166,Glory Steady Go!,ぐろーりーすてでぃごー,く,99,106,4_WxS,2D,2021/08/20,,7,12,18,25,30,,,,,ぐろすて,ｇｓｇ,,,,ｇｌ,ｇぉｒｙｓｔ,ｇぉｒｙｓてあｄｙｇ,ｇぉｒｙｓてあｄｙご,,
114,136,チルドレンレコード,ちるどれんれこーど,ち,128,115,3_VBS,3D,2021/08/23,,9,14,19,27,32,,,,,ちるれこ,,,,,,,,,,
115,161,magic number,まじっくなんばー,ま,111,111,0_VS,2D,2021/09/01,,6,11,18,25,30,,,,,,,,,,ｍ,まｇ,まぎｃｎ,まぎｃぬｍｂ,まぎｃぬｍｂ,
116,173,流星のパルス,りゅうせいのぱるす,り,121.6,113,1_L/n,2D,2021/09/10,,8,13,17,25,31,,,,,ぱるす,,,,,,,,,,
117,111,カトラリー,かとらりー,か,111.2,110,5_25,原曲/2D,2021/09/21,,5,12,18,25,29,,,,,かとらりい,,,,,,,,,,
118,142,再生,さいせい,さ,102.7,108,5_25,3D,2021/09/29,,5,11,15,22,26,,,,,,,,,,,,,,,
119,141,群青讃歌,ぐんじょうさんか,く,99,107,9_oth,2D/3D,2021/09/30,2025/02/26,7,13,17,24,27,29,,,,,,,,,,,,,,
120,179,炉心融解,ろしんゆうかい,ろ,123.8,114,0_VS,-,2021/10/01,,7,12,17,24,27,,,,,,,,,,,,,,,
121,98,ロストワンの号哭,ろすとわんのごうこく,ろ,107.8,109,1_L/n,2D/3D,2021/10/02,,7,14,19,26,33,,,,,,,,,,,,,,,
122,176,マシンガンポエムドール,ましんがんぽえむどーる,ま,140.5,118,0_VS,2D,2021/10/03,,9,14,23,31,35,,,,,,,,,,,,,,,
123,145,ベノム,べのむ,へ,128.7,115,5_25,-,2021/10/04,,7,13,18,26,29,,,,,,,,,,,,,,,
124,175,拝啓ドッペルゲンガー,はいけいどっぺるげんがー,は,155.2,123,0_VS,-,2021/10/05,,9,13,19,28,32,,,,,どっぺるげんがー,,,,,,,,,,
125,134,テレキャスタービーボーイ,てれきゃすたーびーぼーい,て,98,106,4_WxS,原曲/2D,2021/10/06,,8,13,18,25,29,31,,,,,,,,,,,,,,
126,150,トキヲ・ファンカ,ときをふぁんか,と,107.6,109,0_VS,原曲,2021/10/07,2024/03/29,6,11,18,25,28,29,,,,ときおふぁんか,,,,,,,,,,
127,133,悪魔の踊り方,あくまのおどりかた,あ,117.8,112,3_VBS,2D/3D,2021/10/08,,5,12,19,26,31,,,,,,,,,,,,,,,
128,152,だれかの心臓になれたなら,だれかのしんぞうになれたら,た,117.2,112,0_VS,原曲,2021/10/09,,7,12,18,25,29,,,,,,,,,,,,,,,
129,157,マシュマリー,ましゅまりー,ま,133.2,117,2_MMJ,2D,2021/10/10,,8,11,18,26,29,,,,,,,,,,,,,,,
130,177,右肩の蝶,みぎかたのちょう,み,132.5,116,0_VS,-,2021/10/11,,6,12,18,25,31,,,,,,,,,,,,,,,
