配信順,楽曲ID,楽曲名,読み仮名,見出し用,再生時間,楽曲定数,ユニット,MV,配信日,Ap配信日,Lv.Ea,Lv.No,Lv.Ha,Lv.Ex,Lv.Ma,Lv.Ap,,,,読み1,読み2,読み3,読み4,読み5,読み6,読み7,読み8,読み9,読み10,
321,374,チームメイト,ちーむめいと,ち,112.4,111,2_MMJ,2D,2023/06/20,,8,12,18,24,30,,,,,ちいむめいと,,,,,,,,,,
322,339,glow,ぐろう,く,158.9,124,1_L/n,3D,2023/06/23,2024/10/12,5,11,17,22,26,25,,,,ぐろう,ぐろお,,,,ｇ,ｇぉｗ,,,,
323,340,とても素敵な六月でした,とてもすてきなろくがつでした,と,154,123,5_25,3D,2023/06/26,,9,12,18,24,29,,,,,ろくがつ,,,,,,,,,,
324,363,UNDERWATER,あんだーうぉーたー,あ,148.6,120,0_VS,原曲,2023/06/28,,6,11,16,24,29,,,,,あんだあうぉおたあ,,,,,うｎ,うんｄ,うんでｒｗ,うんでｒわｔ,うんでｒわてｒ,
325,361,きゅうくらりん,きゅうくらりん,き,109.1,110,2_MMJ,原曲,2023/07/03,,9,14,20,27,31,,,,,,,,,,,,,,,
326,309,Afterglow,あふたーぐろう,あ,146.7,120,0_VS,3D,2023/07/07,,8,11,16,23,27,,,,,,,,,,あｆｔ,あｆてｒｇｌ,あｆてｒｇぉｗ,,,
327,360,太陽系デスコ,たいようけいですこ,た,146,120,4_WxS,原曲,2023/07/12,,7,13,17,23,28,,,,,ですこ,,,,,,,,,,
328,382,心拍ペアリング,しんぱくぺありんぐ,し,87.3,103,0_VS,-,2023/07/14,,6,11,17,23,28,,,,,,,,,,,,,,,
329,345,演劇,えんげき,え,125.9,115,5_25,3D,2023/07/19,,8,11,17,24,28,,,,,,,,,,,,,,,
330,375,星を繋ぐ,ほしをつなぐ,ほ,96.6,106,1_L/n,2D,2023/07/21,2024/06/20,7,12,18,24,28,27,,,,,,,,,,,,,,
331,344,脳内革命ガール,のうないかくめいがーる,の,140,118,3_VBS,3D,2023/07/24,,9,13,18,27,31,,,,,,,,,,,,,,,
332,319,Decade,でぃけいど,て,144.6,119,0_VS,-,2023/07/28,,6,11,16,24,30,,,,,,,,,,でｃ,でかｄ,でかで,,,
333,400,我らステインバスターズ！,われらすていんばすたーず！,わ,104.9,109,2_MMJ,2D,2023/08/01,,6,12,17,24,28,,,,,すていんばすたーず,すていんばすたあず,,,,,,,,,
334,381,新人類,しんじんるい,し,156.7,124,0_VS,-,2023/08/03,,6,13,19,27,31,,,,,,,,,,,,,,,
335,379,ずんだパーリナイ,ずんだぱーりない,す,166.8,126,0_VS,-,2023/08/04,,7,13,19,27,31,,,,,ずんだもん,,,,,,,,,,
336,399,Disco No.39,でぃすこなんばーさーてぃーないん,て,134.1,117,0_VS,-,2023/08/10,,6,13,19,26,30,,,,,DN39,ｄん３９,,,,ぢｓｃ,ぢｓこｎ,ぢｓこの。３９,,,
337,395,サマータイムレコード,さまーたいむれこーど,さ,149,121,1_L/n,-,2023/08/15,,9,13,19,24,28,,,,,さまあたいむれこおど,,,,,,,,,,
338,356,リアライズ,りあらいず,り,94.3,105,3_VBS,3D,2023/08/19,,7,13,19,25,29,,,,,,,,,,,,,,,
339,386,キラピピ★キラピカ,きらぴぴきらぴか,き,102.4,108,4_WxS,2D,2023/08/21,,7,11,16,23,27,,,,,,,,,,,,,,,
340,394,ボトルケーキ,ぼとるけーき,ほ,115.6,111,0_VS,-,2023/08/25,,5,11,16,24,28,,,,,ぼとるけえき,,,,,,,,,,
341,358,心做し,こころなし,こ,138.6,118,5_25,-,2023/08/28,,5,12,16,22,26,,,,,,,,,,,,,,,
342,357,ブループラネット,ぶるーぷらねっと,ふ,135.9,118,0_VS,3D,2023/08/31,,8,13,19,26,30,,,,,ぶるぷら,ぶるうぷらねっと,,,,,,,,,
343,414,HERO,ひーろー,ひ,122.9,114,0_VS,原曲,2023/09/01,,8,13,19,26,31,,,,,ひいろお,,,,,へｒ,へろ,,,,
344,408,CIRCUS PANIC!!!,さーかすぱにっく,さ,138.3,118,0_VS,-,2023/09/04,,6,13,19,27,32,,,,,さあかすぱにっく,,,,,しｒｃ,しｒくｓｐ,しｒくｓぱｎ,しｒくｓぱにｃ,,
345,355,白い雪のプリンセスは,しろいゆきのプリンセスは,し,140,118,2_MMJ,3D,2023/09/11,,9,14,17,24,29,,,,,しろゆき,,,,,,,,,,
346,393,Un-Lock,あんろっく,あ,139,118,0_VS,-,2023/09/19,,6,12,18,24,28,,,,,,,,,,うｎ,うんｌ,うんぉｃｋ,,,
347,415,ラッキー☆オーブ,らっきーおーぶ,ら,120.5,113,0_VS,原曲,2023/09/25,,6,11,17,24,28,,,,,らっきいおおぶ,,,,,,,,,,
348,366,NEO,ねお,ね,125.7,114,9_oth,3D,2023/09/30,,8,13,19,25,29,32,,,,,,,,,,,,,,
349,368,アイムマイン,あいむまいん,あ,156.5,123,0_VS,3D,2023/10/01,,6,13,19,25,29,,,,,,,,,,,,,,,
350,372,天樂,てんがく,て,151.3,122,1_L/n,原曲,2023/10/02,,9,13,18,25,29,,,,,,,,,,,,,,,
351,401,まにまに,まにまに,ま,113.8,111,0_VS,原曲,2023/10/03,,7,13,19,25,29,,,,,,,,,,,,,,,
352,369,メランコリック,めらんこりっく,め,147.7,120,2_MMJ,原曲,2023/10/04,,6,13,16,24,27,,,,,,,,,,,,,,,
353,325,豚になってyeah yeah,ぶたになっていえいいえい,ふ,121.1,113,0_VS,3D,2023/10/05,,5,12,17,24,28,,,,,,,,,,いぇあｈ,いぇあひぇあｈ,,,,
354,365,恋は戦争,こいはせんそう,こ,143,120,3_VBS,-,2023/10/06,,8,12,16,23,27,,,,,,,,,,,,,,,
355,412,デビルじゃないもん,でびるじゃないもん,て,121.2,113,0_VS,原曲,2023/10/07,,7,12,19,26,29,,,,,,,,,,,,,,,
356,367,すきなことだけでいいです,すきなことだけでいいです,す,155.2,123,4_WxS,3D,2023/10/08,,6,12,18,26,31,,,,,,,,,,,,,,,
357,403,番凩,つがいこがらし,つ,125,114,0_VS,-,2023/10/09,,6,12,17,24,27,,,,,,,,,,,,,,,
358,385,神っぽいな,かみっぽいな,か,147.5,121,5_25,原曲,2023/10/10,,6,13,18,25,29,,,,,,,,,,,,,,,
359,390,Dear,でぃあー,て,150.4,122,0_VS,-,2023/10/11,,6,12,17,23,28,,,,,,,,,,であｒ,,,,,
360,421,CR詠ZY,くれいじー,く,103.3,108,3_VBS,2D,2023/10/12,,5,13,19,24,28,,,,,くれいじい,Crazy,,,,ｃｒ,ｃらｚｙ,,,,
361,425,Cool Me Down,くーるみーだうん,く,149.3,121,0_VS,-,2023/10/16,,7,13,19,25,29,,,,,くうるみいだうん,ｃｍｄ,,,,こおｌｍ,こおｌめｄ,こおｌめどｗｎ,,,
362,377,悪役にキスシーンを,あくやくにきすしーんを,あ,152.5,122,2_MMJ,3D,2023/10/23,,6,12,18,25,29,,,,,きすしーん,きすしいん,,,,,,,,,
363,376,我儘姫,わがままひめ,わ,141.9,119,4_WxS,-,2023/10/25,,6,11,18,26,30,,,,,,,,,,,,,,,
364,383,purpose,ぱーぱす,は,108.5,109,1_L/n,2D/3D,2023/10/29,,6,12,18,24,28,,,,,ぱあぱす,,,,,ぷｒｐ,ぷｒぽｓ,ぷｒぽせ,,,
365,429,はぐ,はぐ,は,129.6,116,2_MMJ,2D,2023/10/31,,6,13,18,24,29,,,,,,,,,,,,,,,
366,384,トワイライトライト,とわいらいとらいと,と,106.8,108,5_25,2D/3D,2023/11/01,,8,13,17,22,26,,,,,,,,,,,,,,,
367,392,春嵐,しゅんらん,し,140.2,119,3_VBS,原曲,2023/11/06,,6,14,20,27,30,,,,,はるあらし,,,,,,,,,,
368,406,ARQETYPE,あーきたいぷ,あ,99.7,106,0_VS,-,2023/11/10,,9,14,21,27,31,,,,,ああきたいぷ,,,,,あｒｑ,あｒくぇｔｙｐ,あｒくぇｔｙぺ,,,
369,426,On&On,おんあんどおん,お,115.4,111,0_VS,-,2023/11/13,,6,12,18,23,27,,,,,,,,,,おｎ,おなｎ,おなんｄ,おなんどｎ,,
370,391,キュートなカノジョ,きゅーとなかのじょ,き,132.4,116,5_25,原曲,2023/11/22,,7,13,17,26,30,,,,,きゅうとなかのじょ,,,,,,,,,,
371,397,フィラメントフィーバー,ふぃらめんとふぃーばー,ふ,114.4,111,4_WxS,2D/3D,2023/11/28,,6,13,18,25,29,,,,,ふぃふぃ,,,,,,,,,,
372,413,さよならプリンセス,さよならぷりんせす,さ,119.4,113,2_MMJ,原曲,2023/12/04,,8,14,19,26,30,,,,,,,,,,,,,,,
373,398,Beyond the way,びよんどざうぇい,ひ,116.9,112,3_VBS,2D/3D,2023/12/08,,7,13,17,25,28,,,,,ｂｔｗ,,,,,べｙ,べよｎ,べよんｄｔｈ,べよんｄてぇｗ,べよんｄてぇわｙ,
374,440,ショウタイム×オーディエンス,しょうたいむおーでぃえんす,し,122.5,113,0_VS,-,2023/12/11,,9,14,18,25,30,,,,,,,,,,,,,,,
375,341,難聴系男子が倒せない,なんちょうけいだんしがたおせない,な,142.4,119,0_VS,3D,2023/12/18,,7,12,17,25,30,,,,,,,,,,,,,,,
376,446,オーバーコード,おーばーこーど,お,160,124,0_VS,-,2023/12/22,,5,12,18,26,30,,,,,おおばあこおど,,,,,,,,,,
377,378,スロウダウナー,すろうだうなー,す,143,119,5_25,原曲,2023/12/25,,8,13,18,26,30,,,,,,,,,,,,,,,
378,407,初めての恋が終わる時,はじめてのこいがおわるとき,は,134.5,117,1_L/n,-,2023/12/28,,8,12,17,25,29,,,,,はじこい,,,,,,,,,,
379,409,25時の情熱,にじゅうごじのじょうねつ,に,119.3,112,5_25,2D/3D,2023/12/29,,5,11,17,22,25,,,,,,,,,,,,,,,
380,418,金木犀,きんもくせい,き,123.7,114,3_VBS,-,2023/12/30,,6,12,17,26,29,,,,,,,,,,,,,,,
381,439,一千光年,いっせんこうねん,い,115.9,111,0_VS,原曲,2023/12/31,,8,13,18,25,30,31,,,,,,,,,,,,,,
382,432,強風オールバック,きょうふうおーるばっく,き,137.4,118,4_WxS,原曲,2024/01/01,,6,13,17,24,28,,,,,,,,,,,,,,,
383,433,ヒアソビ,ひあそび,ひ,132.1,116,0_VS,原曲,2024/01/02,,9,13,18,27,31,,,,,,,,,,,,,,,
384,402,エンヴィーベイビー,えんヴぃーべいびー,え,136.9,118,5_25,3D,2024/01/03,,7,13,17,23,28,,,,,えび,,,,,,,,,,
385,430,『んっあっあっ。』,んっあっあっ,ん,128.3,115,0_VS,原曲,2024/01/04,,6,13,18,24,28,,,,,んああ,,,,,,,,,,
386,417,くうになる,くうになる,く,108.7,110,2_MMJ,原曲,2024/01/05,,7,13,18,24,29,,,,,,,,,,,,,,,
387,438,ハイドアンド・シーク,はいどあんどしーく,は,125,114,1_L/n,-,2024/01/09,,7,12,17,24,28,,,,,,,,,,,,,,,
388,447,folern,ふぉれん,ふ,141.3,119,9_oth,-,2024/01/11,,9,12,21,30,32,35,,,,,,,,,ふぉｌ,ふぉぇｒｎ,,,,
389,405,MOTTO!!!,もっと,も,142.4,119,2_MMJ,2D/3D,2024/01/15,,6,11,16,23,27,,,,,,,,,,もｔ,もっｔ,,,,
390,448,Sage,さげ,さ,150.7,122,9_oth,-,2024/01/18,,9,13,21,29,32,36,,,,せいじ,,,,,さｇ,,,,,
391,444,心泥夢(syndrome),しんどろーむ,し,161,124,0_VS,-,2024/01/22,,7,12,19,27,31,,,,,,,,,,ｓｙｎ,ｓｙんｄｒ,ｓｙんｄろｍ,ｓｙんｄろめ,,
392,452,サイバーパンクデッドボーイ,さいばーぱんくでっどぼーい,さ,122.9,113,4_WxS,2D,2024/01/23,,7,13,19,27,30,,,,,さばぱん,さいばーーぱんくでっどぼーい,,,,まｒｂｌ,まｒｂぇｂｌ,まｒｂぇｂぅえ,,,
393,449,MarbleBlue.,まーぶるぶるー,ま,163.3,124,9_oth,-,2024/01/25,,9,14,21,30,33,37,,,,まぶ,,,,,,,,,,
394,410,マーシャル・マキシマイザー,まーしゃるまきしまいざー,ま,95.3,105,3_VBS,3D,2024/01/29,,9,14,18,26,29,,,,,ましゃま,まあしゃるまきしまいざあ,,,,,,,,,
395,437,え？あぁ、そう。,えあぁそう,え,110.7,110,3_VBS,-,2024/02/01,,8,12,18,25,30,,,,,えあそう,,,,,,,,,,
396,435,リレイアウター,りれいあうたー,り,152.9,122,0_VS,-,2024/02/03,,7,13,18,26,30,,,,,,,,,,,,,,,
397,461,おどロボ,おどろぼ,お,163.9,125,0_VS,-,2024/02/04,,6,13,18,24,29,,,,,,,,,,,,,,,
398,411,世界を照らすテトラッド,せかいをてらすてとらっど,せ,121.6,113,4_WxS,2D/3D,2024/02/09,,7,13,20,27,31,,,,,てとらっど,,,,,,,,,,
399,463,ハッピーチートデー,はっぴーちーとでー,は,121.6,113,0_VS,原曲,2024/02/10,,5,12,17,23,26,,,,,はっぴいちいとでえ,,,,,,,,,,
400,468,十六歳の心臓,じゅうろくさいのしんぞう,し,136.1,117,0_VS,-,2024/02/13,,8,14,20,27,31,,,,,,,,,,,,,,,
401,416,limbo,りんぼ,り,102.1,108,0_VS,-,2024/02/16,,8,13,19,26,31,,,,,,,,,,ぃｍｂ,ぃｍぼ,,,,
402,423,レグルス,れぐるす,れ,127.1,115,1_L/n,2D/3D,2024/02/18,,6,12,18,26,29,30,,,,,,,,,,,,,,
403,436,古書屋敷殺人事件,こしょやしきさつじんじけん,こ,122.1,114,4_WxS,-,2024/02/22,,6,12,18,24,28,,,,,,,,,,,,,,,
404,422,JUMPIN’ OVER !,じゃんぴんおーばー,し,109.1,110,2_MMJ,2D/3D,2024/02/27,,7,12,17,24,28,,,,,,,,,,じゅｍｐ,じゅｍぴｎ,じゅｍぴのｖ,じゅｍぴのゔぇｒ,,
405,469,ラグトレイン,らぐとれいん,ら,127.4,115,5_25,原曲,2024/02/29,,6,13,16,23,27,25,,,,,,,,,,,,,,
406,424,インテグラル,いんでぐらる,い,117.1,112,1_L/n,2D/3D,2024/03/01,,8,12,16,24,28,,,,,,,,,,,,,,,
407,455,ド屑,どくず,と,120.6,113,5_25,原曲,2024/03/04,,5,12,18,25,28,,,,,,,,,,,,,,,
408,481,明鏡止水,めいきょうしすい,め,123.3,114,0_VS,-,2024/03/08,,7,12,18,23,28,,,,,,,,,,,,,,,
409,470,ハジメテノオト,はじめてのおと,は,130.9,116,0_VS,-,2024/03/09,,5,12,16,23,26,,,,,,,,,,,,,,,
410,431,flos,ふろす,ふ,125.1,114,2_MMJ,3D,2024/03/11,,6,12,18,23,27,,,,,,,,,,ｆｌ,ｆぉｓ,,,,
411,483,アコトバ,あことば,あ,130.1,115,0_VS,-,2024/03/15,,6,12,19,24,29,,,,,,,,,,,,,,,
412,427,幽光、1/fのゆらめき,ゆうこうえふぶんのいちのゆらめき,ゆ,91.3,105,0_VS,-,2024/03/18,,8,13,18,25,29,,,,,,,,,,,,,,,
413,465,嬢王,じょうおう,し,143.3,120,0_VS,-,2024/03/22,,9,15,24,31,33,36,,,,,,,,,,,,,,
414,434,1000年生きてる,せんねんいきてる,せ,108.4,109,4_WxS,3D,2024/03/25,,5,13,18,23,28,,,,,,,,,,,,,,,
415,456,幾望の月,きぼうのつき,き,125.1,114,1_L/n,原曲,2024/03/27,,6,14,19,26,29,,,,,いくぼうのつき,,,,,,,,,,
416,404,blender,ぶれんだー,ふ,136.1,117,3_VBS,2D/3D,2024/03/28,,5,12,16,23,27,,,,,ぶれんだあ,,,,,ｂｌ,ｂぇｎ,ｂぇんｄ,ｂぇんでｒ,,
417,454,えれくとりっく・えんじぇぅ,えれくとりっくえんじぇう,え,126.1,114,0_VS,-,2024/03/30,,7,12,17,24,29,,,,,,,,,,,,,,,
418,462,レッドランドマーカー,れっどらんどまーかー,れ,127.8,115,0_VS,原曲,2024/03/31,,7,13,18,26,29,,,,,,,,,,,,,,,
419,467,あいのうた,あいのうた,あ,123.1,113,0_VS,-,2024/04/02,,6,12,16,25,29,,,,,,,,,,,,,,,
420,466,ガーネットの涙,がーねっとのなみだ,か,119,112,0_VS,原曲,2024/04/03,,6,12,16,25,28,,,,,があねっと,,,,,,,,,,
421,485,だんだん早くなる,だんだんはやくなる,た,141,118,0_VS,-,2024/04/04,,7,13,18,24,28,,,,,,,,,,,,,,,
422,492,私は雨,わたしはあめ,わ,125.1,115,5_25,2D,2024/04/10,,6,12,18,24,28,,,,,,,,,,,,,,,
423,441,酔いどれ知らず,よいどれしらず,よ,136.1,117,3_VBS,3D,2024/04/15,,6,13,18,24,28,29,,,,,,,,,,,,,,
424,486,おぎゃりないざー,おぎゃりないざー,お,127.9,115,0_VS,-,2024/04/19,,9,15,23,31,34,37,,,,,,,,,,,,,,
425,496,シルバーコレクター,しるばーこれくたー,し,132.1,116,0_VS,-,2024/04/22,,8,13,19,26,32,,,,,しるばあこれくたあ,,,,,,,,,,
426,442,すれすれ,すれすれ,す,97.1,106,1_L/n,2D/3D,2024/04/28,,6,11,16,23,26,,,,,,,,,,,,,,,
427,497,烈火,れっか,れ,139.5,118,3_VBS,2D,2024/04/30,,6,12,16,23,27,,,,,,,,,,,,,,,
428,503,超最終鬼畜妹フランドール・Ｓ,ちょうさいしゅうきちくいもうとふらんどーるえす,ち,123,114,9_oth,-,2024/05/03,,9,14,20,28,32,35,,,,ふらんどーる,ふらんどおる,さいしゅうきちく,,,,,,,,
429,501,Bad Apple!! feat.SEKAI,ばっどあっぷるふぃーちゃりんぐせかい,は,146.3,120,5_25,2D,2024/05/04,,7,11,18,24,29,31,,,,,,,,,ばｄ,ばだｐ,ばだっｐｌ,ばだっｐぇｆ,ばだっｐぇふぇあｔｓ,
430,502,"Help me, ERINNNNNN!!",へるぷみーえーりん,へ,145.8,120,0_VS,2D,2024/05/05,,8,13,19,26,30,32,,,,えーりん,ええりん,,,,へｌｐｍ,へｌｐめえｒ,へｌｐめえりｎ,へｌｐめえｒ,へｌｐめえりんｎ,
431,480,おちゃめ機能,おちゃめきのう,お,125.7,114,4_WxS,-,2024/05/07,,7,13,18,24,30,,,,,,,,,,,,,,,
432,428,ときめきジェットコースター,ときめきじぇっとこーすたー,と,125,114,0_VS,-,2024/05/10,,8,13,19,27,31,,,,,,,,,,,,,,,
433,396,東京テディベア,とうきょうてでぃべあ,と,135.1,117,1_L/n,3D,2024/05/13,,9,13,18,28,31,34,,,,てでぃべあ,,,,,,,,,,
434,451,熱異常,ねついじょう,ね,122.1,114,5_25,3D,2024/05/17,,8,13,18,27,32,,,,,,,,,,,,,,,
435,504,I know 愛脳.,あいのうあいのう,あ,121.5,113,0_VS,-,2024/05/20,,7,14,20,26,31,,,,,いｋｎ,いｋのｗ,いｋのわいのう,,,,,,,,
436,482,だめにんげんだ!,だめにんげんだ,た,122.4,113,2_MMJ,原曲,2024/05/24,,8,13,19,26,30,,,,,,,,,,,,,,,
437,450,オペラ！スペースオペラ！,おぺらすぺーすおぺら,お,126,114,4_WxS,3D,2024/05/29,,9,13,19,26,30,31,,,,すぺーすおぺら,すぺえすおぺら,,,,,,,,,
438,458,抜錨,ばつびょう,は,125.1,114,1_L/n,3D,2024/06/03,,6,12,17,24,28,,,,,,,,,,,,,,,
439,493,きょうもハレバレ,きょうもはればれ,き,121.1,113,4_WxS,-,2024/06/10,,6,13,17,24,28,,,,,はればれ,,,,,,,,,,
440,457,Supernova,すーぱーのゔぁ,す,130.3,116,2_MMJ,3D,2024/06/18,,5,13,17,24,28,27,,,,すうぱあのゔぁ,すうぱあのば,すーぱーのば,すぱのば,すぱのゔぁ,ｓ,すｐ,すぺｒｎ,すぺｒのｖ,すぺｒのゔぁ,
441,507,エンパープル,えんぱーぷる,え,118.9,112,5_25,2D,2024/06/20,,6,12,17,24,29,30,,,,えんぱあぷる,,,,,,,,,,
442,512,合成するミライ,ごうせいするみらい,こ,135,117,0_VS,-,2024/06/24,,7,12,19,25,30,,,,,みらい,,,,,,,,,,
443,460,LEADER,りーだー,り,110.1,110,0_VS,-,2024/06/28,,6,12,17,24,28,,,,,りいだあ,,,,,,,,,,
444,494,ポッピンキャンディ☆フィーバー！,ぽっぴんきゃんでぃふぃーばー,ほ,128.9,115,2_MMJ,原曲,2024/07/01,,8,13,19,26,31,,,,,,,,,,,,,,,
445,471,ULTRA C,うるとらしー,う,97,106,3_VBS,3D,2024/07/07,,6,12,18,25,28,,,,,うｌｔｒ,うｌｔらｃ,,,,,,,,,
446,487,ダイジョブですか？,だいじょぶですか,た,150.7,122,0_VS,-,2024/07/09,,9,15,23,31,34,37,,,,だいじょうぶ,,,,,,,,,,
447,472,成敗いたAAAAAす！,せいばいいたあああああす,せ,133.1,116,4_WxS,2D/3D,2424/07/15,,8,14,18,25,31,,,,,せいばいいたす,,,,,,,,,,
448,443,林檎売りの泡沫少女,りんごうりのうたかたしょうじょ,り,129.6,116,1_L/n,原曲,2024/07/17,,8,13,17,24,28,,,,,うたかたしょうじょ,,,,,,,,,,
449,517,メリーゴーラウンド,めりーごーらんど,め,138.6,118,0_VS,-,2024/07/22,,5,12,18,26,29,,,,,めりいごおらんど,めりご,,,,,,,,,
450,473,マインドブランド,まいんどぶらんど,ま,125.3,114,5_25,3D,2024/07/29,,7,13,17,24,28,,,,,まいぶら,,,,,,,,,,
451,515,イガク,いがく,い,120.7,115,0_VS,-,2024/08/03,,7,14,20,25,31,,,,,,,,,,,,,,,
452,516,あちこちデートさん,あちこちでーとさん,あ,122.1,115,0_VS,-,2024/08/04,,5,11,16,22,30,,,,,でーとさん,でえとさん,,,,,,,,,
453,474,キラー,きらー,き,98.1,106,2_MMJ,2D/3D,2024/08/07,,8,13,19,27,31,33,,,,きらあ,,,,,,,,,,
454,522,WAVE,うぇーぶ,う,117.1,112,3_VBS,-,2024/08/13,,6,12,17,24,28,,,,,うぇいぶ,うぇーゔ,うぇいゔ,,,わｖ,わゔぇ,,,,
455,526,彗星ノ銀河,すいせいのぎんが,す,124.3,114,0_VS,-,2024/08/19,,5,11,16,21,26,,,,,ぎんが,,,,,,,,,,
456,519,夏夜ノ唄,なつよのうた,な,122.1,114,0_VS,-,2024/08/23,,5,13,16,23,28,,,,,,,,,,,,,,,
457,506,QUEEN,くいーん,く,143.7,120,4_WxS,原曲,2024/08/26,,8,13,18,25,29,,,,,くいいん,,,,,くええｎ,,,,,
458,525,アンテナ39,あんてなさんきゅー,あ,125.9,114,0_VS,原曲,2024/08/30,,6,13,18,25,30,,,,,あんてなみく,,,,,,,,,,
459,475,ちがう!!!,ちがう,ち,117.8,112,4_WxS,3D,2024/09/02,,8,13,18,26,31,,,,,,,,,,,,,,,
460,495,スーパーヒーロー,すーぱーひーろー,す,115,111,2_MMJ,原曲,2024/09/09,,6,13,20,25,29,,,,,すうぱあひいろお,,,,,,,,,,
461,529,カルチャ,かるちゃ,か,109.2,109,0_VS,原曲,2024/09/13,,7,13,17,25,28,,,,,,,,,,,,,,,
462,532,レイヤーノート,れいやーのーと,れ,127.8,115,0_VS,-,2024/09/17,,5,11,16,21,27,,,,,れいやあのおと,,,,,,,,,,
463,524,それでも僕らは歌うことをやめない,それでもぼくらはうたうことをやめない,そ,98.2,106,1_L/n,2D,2024/09/20,,8,13,18,26,30,,,,,それうた,,,,,,,,,,
464,527,Unpoison,あんぽいずん,あ,122,113,0_VS,-,2024/09/24,,5,12,17,23,28,,,,,うｎ,うんｐ,うんぽいｓ,うんぽいそｎ,,,,,,,
465,489,熱風,ねっぷう,ね,112.6,110,9_oth,3D,2024/09/30,,8,13,16,23,29,31,,,,もざいくろおる,,,,,,,,,,
466,477,モザイクロール (Reloaded),もざいくろーるりろーでっど,も,124.5,114,1_L/n,3D,2024/10/01,,6,13,17,24,29,,,,,もざいくろおる,,,,,,,,,,
467,531,メズマライザー,めずまらいざー,め,126.2,114,0_VS,原曲,2024/10/02,,8,13,20,26,31,,,,,めずまらいざあ,,,,,,,,,,
468,511,如月アテンション,きさらぎあてんしょん,き,118.1,112,2_MMJ,-,2024/10/03,,8,13,18,25,29,,,,,,,,,,,,,,,
469,541,メインキャラクター,めいんきゃらくたー,め,115.2,112,0_VS,原曲,2024/10/04,,8,12,17,25,29,,,,,めいんきゃらくたあ,,,,,,,,,,
470,505,コールボーイ,こーるぼーい,こ,124.1,114,3_VBS,-,2024/10/05,,6,13,17,25,29,,,,,こおるぼおい,,,,,,,,,,
471,523,きみとぼくのレゾナンス,きみとぼくのれぞなんす,き,132.5,116,0_VS,原曲,2024/10/06,,7,13,16,24,28,,,,,れぞなんす,,,,,,,,,,
472,533,転生林檎,てんせいりんご,て,113.5,111,4_WxS,原曲,2024/10/07,,6,12,20,25,29,,,,,,,,,,,,,,,
473,542,Blackjack,ぶらっくじゃっく,ふ,129.8,116,0_VS,-,2024/10/08,,6,13,17,25,31,,,,,ｂぁｃｋｊ,ｂぁｃｋじゃｃｋ,,,,,,,,,
474,476,Shadow Shadow,しゃどーしゃどー,し,129.5,115,5_25,3D,2024/10/09,,6,12,16,23,27,,,,,しゃｄ,しゃどｗｓｈ,しゃどｗしゃｄ,しゃどｗしゃどｗ,,,,,,,
475,543,生命性シンドロウム,せいめいせいしんどろうむ,せ,132.6,116,0_VS,原曲,2024/10/10,,9,14,20,29,33,36,,,,しんどろうむ,,,,,,,,,,
476,549,化けの花,ばけのはな,は,117.9,112,5_25,2D,2024/10/12,,8,13,18,27,31,,,,,,,,,,,,,,,
477,530,キャットフード,きゃっとふーど,き,121.9,114,2_MMJ,原曲,2024/10/15,,7,12,17,24,28,,,,,きゃっとふうど,,,,,,,,,,
478,488,メモリア,めもりあ,め,159.9,124,0_VS,-,2024/10/21,,9,15,23,31,34,37,,,,,,,,,,,,,,
479,545,脳天,のうてん,の,115.9,112,0_VS,-,2024/10/28,,7,12,17,23,27,,,,,,,,,,,,,,,
480,478,フューエル,ふゅーえる,ふ,102.3,108,3_VBS,2D/3D,2024/10/29,,7,13,17,25,29,,,,,ふゆーえる,ふゆうえる,,,,,,,,,
481,546,その音が鳴るなら,そのおとがなるなら,そ,110.5,110,1_L/n,2D,2024/10/31,,9,13,18,25,29,,,,,,,,,,,,,,,
482,544,妄想アスパルテーム,もうそうあすてるぱーむ,も,119.1,112,2_MMJ,原曲,2024/11/05,,7,12,17,25,30,,,,,あすてるぱーむ,あすてるぱあむ,,,,,,,,,
483,491,キャットラビング,きゃっとらびんぐ,き,117.5,112,5_25,3D,2024/11/13,,7,12,17,25,30,,,,,,,,,,,,,,,
484,548,ぼくのかみさま,ぼくのかみさま,ほ,124,114,4_WxS,2D,2024/11/20,,6,13,17,24,28,27,,,,,,,,,,,,,,
485,553,パリィ,ぱりぃ,は,124.1,114,0_VS,-,2024/11/25,,6,12,18,27,31,,,,,,,,,,,,,,,
486,518,みかぼし,みかぼし,み,131.1,116,0_VS,-,2024/12/02,,7,12,17,24,30,,,,,,,,,,,,,,,
487,500,余花にみとれて,よかにみとれて,よ,130.4,114,5_25,2D/3D,2024/12/09,,5,11,15,21,25,,,,,,,,,,,,,,,
488,569,シークレット・シーカー,しーくれっとしーかー,し,114.5,111,0_VS,-,2024/12/16,,8,13,18,26,30,,,,,,,,,,,,,,,
489,498,はしる! とおく! とどく!,はしるとおくとどく,は,109,109,2_MMJ,2D/3D,2024/12/19,,8,13,17,25,29,,,,,はとと,,,,,,,,,,
490,557,花溺れ,はなおぼれ,は,126.2,114,3_VBS,-,2024/12/23,,6,12,17,26,29,,,,,,,,,,,,,,,
491,573,はじまりの未来,はじまりのみらい,は,134.4,116,0_VS,2D,2024/12/28,,7,12,17,24,28,,,,,,,,,,,,,,,
